Date,Medicine Name,Quantity Sold,Category,Price per Unit,Stock Remaining,Supplier,Season,Location,Reorder Threshold
2010-02-05,Cetirizine,135,Antihistamine,46.04,-120,Supplier C,Winter,Aisle 4,Yes
2010-02-05,Loratadine,124,Antihistamine,26.81,59,Supplier A,Winter,Aisle 10,Yes
2010-02-05,Omeprazole,65,Antacid,26.56,210,Supplier C,Winter,Aisle 2,No
2010-02-05,Metformin,162,Antidiabetic,45.63,-162,Supplier D,Winter,Aisle 6,Yes
2010-02-05,Simvastatin,158,Lipid-lowering,30.05,189,Supplier A,Winter,Aisle 3,No
2010-02-05,Diazepam,95,Benzodiazepine,9.59,-18,Supplier A,Winter,Aisle 8,Yes
2010-02-05,Ciprofloxacin,199,Antibiotic,31.86,413,Supplier D,Winter,Aisle 4,No
2010-02-05,Levothyroxine,60,Thyroid Hormone,33.12,265,Supplier C,Winter,Aisle 9,No
2010-02-12,Paracetamol,156,Analgesic,26.19,241,Supplier A,Winter,Aisle 9,No
2010-02-12,Ibuprofen,105,NSAID,38.02,336,Supplier A,Winter,Aisle 5,No
2010-02-12,Aspirin,155,NSAID,33.62,29,Supplier B,Winter,Aisle 6,Yes
2010-02-12,Amoxicillin,143,Antibiotic,28.03,-109,Supplier C,Winter,Aisle 9,Yes
2010-02-12,Cetirizine,179,Antihistamine,21.13,-179,Supplier C,Winter,Aisle 9,Yes
2010-02-12,Loratadine,108,Antihistamine,11.78,-49,Supplier C,Winter,Aisle 9,Yes
2010-02-12,Omeprazole,53,Antacid,47.95,157,Supplier A,Winter,Aisle 8,No
2010-02-12,Metformin,103,Antidiabetic,30.27,-103,Supplier C,Winter,Aisle 6,Yes
2010-02-12,Simvastatin,167,Lipid-lowering,14.54,22,Supplier A,Winter,Aisle 1,Yes
2010-02-12,Diazepam,64,Benzodiazepine,6.5,-64,Supplier B,Winter,Aisle 8,Yes
2010-02-12,Ciprofloxacin,124,Antibiotic,29.29,289,Supplier B,Winter,Aisle 10,No
2010-02-12,Levothyroxine,53,Thyroid Hormone,26.32,212,Supplier C,Winter,Aisle 8,No
2010-02-19,Paracetamol,72,Analgesic,9.67,169,Supplier C,Winter,Aisle 4,No
2010-02-19,Ibuprofen,77,NSAID,47.24,259,Supplier D,Winter,Aisle 10,No
2010-02-19,Aspirin,137,NSAID,49.24,-108,Supplier D,Winter,Aisle 1,Yes
2010-02-19,Amoxicillin,199,Antibiotic,18.45,-199,Supplier B,Winter,Aisle 7,Yes
2010-02-19,Cetirizine,53,Antihistamine,5.75,-53,Supplier C,Winter,Aisle 3,Yes
2010-02-19,Loratadine,124,Antihistamine,28.13,-124,Supplier B,Winter,Aisle 8,Yes
2010-02-19,Omeprazole,109,Antacid,46.06,48,Supplier C,Winter,Aisle 9,Yes
2010-02-19,Metformin,107,Antidiabetic,32.55,-107,Supplier B,Winter,Aisle 3,Yes
2010-02-19,Simvastatin,142,Lipid-lowering,49.76,-120,Supplier A,Winter,Aisle 9,Yes
2010-02-19,Diazepam,65,Benzodiazepine,32.15,-65,Supplier B,Winter,Aisle 4,Yes
2010-02-19,Ciprofloxacin,69,Antibiotic,45.78,220,Supplier C,Winter,Aisle 3,No
2010-02-19,Levothyroxine,21,Thyroid Hormone,19.91,191,Supplier D,Winter,Aisle 9,No
2010-02-26,Paracetamol,102,Analgesic,22.95,67,Supplier D,Winter,Aisle 1,Yes
2010-02-26,Ibuprofen,122,NSAID,8.32,137,Supplier B,Winter,Aisle 10,No
2010-02-26,Aspirin,87,NSAID,48.74,-87,Supplier B,Winter,Aisle 9,Yes
2010-02-26,Amoxicillin,41,Antibiotic,13.08,-41,Supplier B,Winter,Aisle 4,Yes
2010-02-26,Cetirizine,50,Antihistamine,39.85,-50,Supplier D,Winter,Aisle 9,Yes
2010-02-26,Loratadine,93,Antihistamine,47.09,-93,Supplier A,Winter,Aisle 9,Yes
2010-02-26,Omeprazole,30,Antacid,22.73,18,Supplier A,Winter,Aisle 1,Yes
2010-02-26,Metformin,55,Antidiabetic,15.55,-55,Supplier D,Winter,Aisle 7,Yes
2010-02-26,Simvastatin,132,Lipid-lowering,15.32,-132,Supplier B,Winter,Aisle 6,Yes
2010-02-26,Diazepam,56,Benzodiazepine,34.11,-56,Supplier D,Winter,Aisle 9,Yes
2010-02-26,Ciprofloxacin,58,Antibiotic,27.49,162,Supplier C,Winter,Aisle 10,No
2010-02-26,Levothyroxine,43,Thyroid Hormone,21.91,148,Supplier A,Winter,Aisle 5,No
2010-03-05,Paracetamol,161,Analgesic,46.24,-94,Supplier D,Spring,Aisle 7,Yes
2010-03-05,Ibuprofen,140,NSAID,9.85,-3,Supplier A,Spring,Aisle 5,Yes
2010-03-05,Aspirin,72,NSAID,14.4,-72,Supplier A,Spring,Aisle 2,Yes
2010-03-05,Amoxicillin,157,Antibiotic,21.23,-157,Supplier A,Spring,Aisle 7,Yes
2010-03-05,Cetirizine,49,Antihistamine,22.89,-49,Supplier A,Spring,Aisle 10,Yes
2010-03-05,Loratadine,27,Antihistamine,23.85,-27,Supplier A,Spring,Aisle 1,Yes
2010-03-05,Omeprazole,118,Antacid,18.53,-100,Supplier A,Spring,Aisle 8,Yes
2010-03-05,Metformin,102,Antidiabetic,17.85,-102,Supplier D,Spring,Aisle 7,Yes
2010-03-05,Simvastatin,177,Lipid-lowering,35.12,-177,Supplier D,Spring,Aisle 4,Yes
2010-03-05,Diazepam,90,Benzodiazepine,26.64,-90,Supplier D,Spring,Aisle 1,Yes
2010-03-05,Ciprofloxacin,199,Antibiotic,13.37,-37,Supplier B,Spring,Aisle 5,Yes
2010-03-05,Levothyroxine,30,Thyroid Hormone,9.02,118,Supplier A,Spring,Aisle 7,No
2010-03-12,Paracetamol,60,Analgesic,13.2,-60,Supplier A,Spring,Aisle 8,Yes
2010-03-12,Ibuprofen,87,NSAID,26.82,-87,Supplier D,Spring,Aisle 6,Yes
2010-03-12,Aspirin,170,NSAID,46.63,-170,Supplier B,Spring,Aisle 3,Yes
2010-03-12,Amoxicillin,107,Antibiotic,39.65,-107,Supplier A,Spring,Aisle 7,Yes
2010-03-12,Cetirizine,131,Antihistamine,46.27,-131,Supplier B,Spring,Aisle 4,Yes
2010-03-12,Loratadine,130,Antihistamine,21.68,-130,Supplier D,Spring,Aisle 1,Yes
2010-03-12,Omeprazole,106,Antacid,13.82,-106,Supplier C,Spring,Aisle 1,Yes
2010-03-12,Metformin,137,Antidiabetic,8.92,-137,Supplier A,Spring,Aisle 6,Yes
2010-03-12,Simvastatin,72,Lipid-lowering,11.96,-72,Supplier D,Spring,Aisle 10,Yes
2010-03-12,Diazepam,107,Benzodiazepine,33.09,-107,Supplier D,Spring,Aisle 7,Yes
2010-03-12,Ciprofloxacin,116,Antibiotic,42.08,-116,Supplier A,Spring,Aisle 4,Yes
2010-03-12,Levothyroxine,198,Thyroid Hormone,44.66,-80,Supplier C,Spring,Aisle 10,Yes
2010-03-19,Paracetamol,67,Analgesic,47.21,-67,Supplier A,Spring,Aisle 5,Yes
2010-03-19,Ibuprofen,106,NSAID,5.45,-106,Supplier B,Spring,Aisle 6,Yes
2010-03-19,Aspirin,30,NSAID,48.44,-30,Supplier C,Spring,Aisle 10,Yes
2010-03-19,Amoxicillin,24,Antibiotic,15.39,-24,Supplier D,Spring,Aisle 2,Yes
2010-03-19,Cetirizine,199,Antihistamine,42.24,-199,Supplier D,Spring,Aisle 7,Yes
2010-03-19,Loratadine,85,Antihistamine,25.85,-85,Supplier B,Spring,Aisle 9,Yes
2010-03-19,Omeprazole,143,Antacid,20.45,-143,Supplier B,Spring,Aisle 8,Yes
2010-03-19,Metformin,27,Antidiabetic,43.66,-27,Supplier B,Spring,Aisle 6,Yes
2010-03-19,Simvastatin,115,Lipid-lowering,41.17,-115,Supplier C,Spring,Aisle 3,Yes
2010-03-19,Diazepam,120,Benzodiazepine,25.18,-120,Supplier C,Spring,Aisle 9,Yes
2010-03-19,Ciprofloxacin,95,Antibiotic,9.98,-95,Supplier B,Spring,Aisle 7,Yes
2010-03-19,Levothyroxine,93,Thyroid Hormone,34.19,-93,Supplier C,Spring,Aisle 3,Yes
2010-03-26,Paracetamol,51,Analgesic,34.97,-51,Supplier A,Spring,Aisle 5,Yes
2010-03-26,Ibuprofen,154,NSAID,27.8,-154,Supplier A,Spring,Aisle 7,Yes
2010-03-26,Aspirin,193,NSAID,12.03,-193,Supplier B,Spring,Aisle 3,Yes
2010-03-26,Amoxicillin,34,Antibiotic,14.25,-34,Supplier A,Spring,Aisle 5,Yes
2010-03-26,Cetirizine,103,Antihistamine,27.41,-103,Supplier C,Spring,Aisle 9,Yes
2010-03-26,Loratadine,38,Antihistamine,6.68,-38,Supplier C,Spring,Aisle 5,Yes
2010-03-26,Omeprazole,32,Antacid,40.84,-32,Supplier C,Spring,Aisle 7,Yes
2010-03-26,Metformin,73,Antidiabetic,31.8,-73,Supplier D,Spring,Aisle 6,Yes
2010-03-26,Simvastatin,60,Lipid-lowering,30.02,-60,Supplier B,Spring,Aisle 2,Yes
2010-03-26,Diazepam,154,Benzodiazepine,16.82,-154,Supplier B,Spring,Aisle 1,Yes
2010-03-26,Ciprofloxacin,108,Antibiotic,36.79,-108,Supplier A,Spring,Aisle 7,Yes
2010-03-26,Levothyroxine,106,Thyroid Hormone,18.01,-106,Supplier B,Spring,Aisle 10,Yes
2010-04-02,Paracetamol,27,Analgesic,17.33,-27,Supplier C,Spring,Aisle 1,Yes
2010-04-02,Ibuprofen,27,NSAID,14.56,-27,Supplier D,Spring,Aisle 9,Yes
2010-04-02,Aspirin,77,NSAID,28.81,-77,Supplier C,Spring,Aisle 6,Yes
2010-04-02,Amoxicillin,111,Antibiotic,8.39,-111,Supplier A,Spring,Aisle 3,Yes
2010-04-02,Cetirizine,160,Antihistamine,26.15,-160,Supplier B,Spring,Aisle 7,Yes
2010-04-02,Loratadine,30,Antihistamine,47.02,-30,Supplier C,Spring,Aisle 6,Yes
2010-04-02,Omeprazole,45,Antacid,16.32,-45,Supplier B,Spring,Aisle 2,Yes
2010-04-02,Metformin,192,Antidiabetic,41.75,-192,Supplier C,Spring,Aisle 7,Yes
2010-04-02,Simvastatin,64,Lipid-lowering,14.66,-64,Supplier A,Spring,Aisle 1,Yes
2010-04-02,Diazepam,144,Benzodiazepine,42.23,-144,Supplier A,Spring,Aisle 1,Yes
2010-04-02,Ciprofloxacin,121,Antibiotic,14.89,-121,Supplier C,Spring,Aisle 5,Yes
2010-04-02,Levothyroxine,71,Thyroid Hormone,29.62,-71,Supplier D,Spring,Aisle 7,Yes
2010-04-09,Paracetamol,47,Analgesic,23.69,-47,Supplier A,Spring,Aisle 2,Yes
2010-04-09,Ibuprofen,155,NSAID,17.44,-155,Supplier B,Spring,Aisle 1,Yes
2010-04-09,Aspirin,74,NSAID,46.34,-74,Supplier D,Spring,Aisle 4,Yes
2010-04-09,Amoxicillin,155,Antibiotic,5.75,-155,Supplier B,Spring,Aisle 7,Yes
2010-04-09,Cetirizine,164,Antihistamine,15.51,-164,Supplier C,Spring,Aisle 4,Yes
2010-04-09,Loratadine,22,Antihistamine,36.44,-22,Supplier D,Spring,Aisle 7,Yes
2010-04-09,Omeprazole,43,Antacid,43.42,-43,Supplier A,Spring,Aisle 10,Yes
2010-04-09,Metformin,85,Antidiabetic,6.38,-85,Supplier A,Spring,Aisle 2,Yes
2010-04-09,Simvastatin,23,Lipid-lowering,49.14,-23,Supplier C,Spring,Aisle 1,Yes
2010-04-09,Diazepam,102,Benzodiazepine,12.75,-102,Supplier C,Spring,Aisle 9,Yes
2010-04-09,Ciprofloxacin,118,Antibiotic,34.62,-118,Supplier A,Spring,Aisle 5,Yes
2010-04-09,Levothyroxine,64,Thyroid Hormone,23.68,-64,Supplier B,Spring,Aisle 4,Yes
2010-04-16,Paracetamol,168,Analgesic,11.52,-168,Supplier A,Spring,Aisle 9,Yes
2010-04-16,Ibuprofen,89,NSAID,36.74,-89,Supplier A,Spring,Aisle 2,Yes
2010-04-16,Aspirin,177,NSAID,8.43,-177,Supplier D,Spring,Aisle 4,Yes
2010-04-16,Amoxicillin,143,Antibiotic,8.71,-143,Supplier D,Spring,Aisle 10,Yes
2010-04-16,Cetirizine,137,Antihistamine,42.37,-137,Supplier D,Spring,Aisle 6,Yes
2010-04-16,Loratadine,51,Antihistamine,31.82,-51,Supplier B,Spring,Aisle 2,Yes
2010-04-16,Omeprazole,111,Antacid,41.75,-111,Supplier C,Spring,Aisle 4,Yes
2010-04-16,Metformin,20,Antidiabetic,41.92,-20,Supplier D,Spring,Aisle 6,Yes
2010-04-16,Simvastatin,160,Lipid-lowering,34.13,-160,Supplier A,Spring,Aisle 8,Yes
2010-04-16,Diazepam,195,Benzodiazepine,17.26,-195,Supplier B,Spring,Aisle 10,Yes
2010-04-16,Ciprofloxacin,126,Antibiotic,13.42,-126,Supplier D,Spring,Aisle 10,Yes
2010-04-16,Levothyroxine,29,Thyroid Hormone,36.81,-29,Supplier D,Spring,Aisle 5,Yes
2010-04-23,Paracetamol,145,Analgesic,25.67,-145,Supplier A,Spring,Aisle 10,Yes
2010-04-23,Ibuprofen,75,NSAID,36.41,-75,Supplier C,Spring,Aisle 2,Yes
2010-04-23,Aspirin,121,NSAID,46.01,-121,Supplier B,Spring,Aisle 4,Yes
2010-04-23,Amoxicillin,104,Antibiotic,10.81,-104,Supplier A,Spring,Aisle 7,Yes
2010-04-23,Cetirizine,113,Antihistamine,24.07,-113,Supplier C,Spring,Aisle 7,Yes
2010-04-23,Loratadine,183,Antihistamine,35.82,-183,Supplier C,Spring,Aisle 8,Yes
2010-04-23,Omeprazole,75,Antacid,14.98,-75,Supplier C,Spring,Aisle 3,Yes
2010-04-23,Metformin,50,Antidiabetic,7.57,-50,Supplier D,Spring,Aisle 7,Yes
2010-04-23,Simvastatin,131,Lipid-lowering,34.67,-131,Supplier B,Spring,Aisle 1,Yes
2010-04-23,Diazepam,175,Benzodiazepine,8.5,-175,Supplier D,Spring,Aisle 5,Yes
2010-04-23,Ciprofloxacin,82,Antibiotic,5.78,-82,Supplier C,Spring,Aisle 3,Yes
2010-04-23,Levothyroxine,113,Thyroid Hormone,17.73,-113,Supplier B,Spring,Aisle 5,Yes
2010-04-30,Paracetamol,197,Analgesic,9.58,-197,Supplier C,Spring,Aisle 7,Yes
2010-04-30,Ibuprofen,189,NSAID,47.43,-189,Supplier B,Spring,Aisle 8,Yes
2010-04-30,Aspirin,110,NSAID,23.62,-110,Supplier A,Spring,Aisle 3,Yes
2010-04-30,Amoxicillin,82,Antibiotic,7.04,-82,Supplier A,Spring,Aisle 9,Yes
2010-04-30,Cetirizine,168,Antihistamine,10.24,-168,Supplier A,Spring,Aisle 6,Yes
2010-04-30,Loratadine,112,Antihistamine,36.16,-112,Supplier A,Spring,Aisle 7,Yes
2010-04-30,Omeprazole,102,Antacid,48.16,-102,Supplier B,Spring,Aisle 6,Yes
2010-04-30,Metformin,172,Antidiabetic,23.84,-172,Supplier B,Spring,Aisle 6,Yes
2010-04-30,Simvastatin,92,Lipid-lowering,10.12,-92,Supplier A,Spring,Aisle 2,Yes
2010-04-30,Diazepam,140,Benzodiazepine,15.73,-140,Supplier D,Spring,Aisle 3,Yes
2010-04-30,Ciprofloxacin,56,Antibiotic,36.82,-56,Supplier B,Spring,Aisle 10,Yes
2010-04-30,Levothyroxine,65,Thyroid Hormone,16.33,-65,Supplier C,Spring,Aisle 2,Yes
2010-05-07,Paracetamol,189,Analgesic,44.68,-189,Supplier A,Spring,Aisle 4,Yes
2010-05-07,Ibuprofen,141,NSAID,34.22,-141,Supplier A,Spring,Aisle 4,Yes
2010-05-07,Aspirin,94,NSAID,5.71,-94,Supplier C,Spring,Aisle 6,Yes
2010-05-07,Amoxicillin,145,Antibiotic,20.32,-145,Supplier A,Spring,Aisle 8,Yes
2010-05-07,Cetirizine,20,Antihistamine,22.59,-20,Supplier D,Spring,Aisle 4,Yes
2010-05-07,Loratadine,48,Antihistamine,17.74,-48,Supplier A,Spring,Aisle 6,Yes
2010-05-07,Omeprazole,147,Antacid,7.62,-147,Supplier C,Spring,Aisle 9,Yes
2010-05-07,Metformin,42,Antidiabetic,37.25,-42,Supplier D,Spring,Aisle 1,Yes
2010-05-07,Simvastatin,53,Lipid-lowering,21.34,-53,Supplier B,Spring,Aisle 10,Yes
2010-05-07,Diazepam,112,Benzodiazepine,9.94,-112,Supplier B,Spring,Aisle 6,Yes
2010-05-07,Ciprofloxacin,97,Antibiotic,22.84,-97,Supplier B,Spring,Aisle 10,Yes
2010-05-07,Levothyroxine,155,Thyroid Hormone,16.95,-155,Supplier A,Spring,Aisle 9,Yes
2010-05-14,Paracetamol,46,Analgesic,48.26,-46,Supplier D,Spring,Aisle 8,Yes
2010-05-14,Ibuprofen,51,NSAID,16.38,-51,Supplier A,Spring,Aisle 4,Yes
2010-05-14,Aspirin,83,NSAID,14.52,-83,Supplier B,Spring,Aisle 4,Yes
2010-05-14,Amoxicillin,190,Antibiotic,10.17,-190,Supplier C,Spring,Aisle 7,Yes
2010-05-14,Cetirizine,142,Antihistamine,18.15,-142,Supplier A,Spring,Aisle 2,Yes
2010-05-14,Loratadine,145,Antihistamine,48.72,-145,Supplier D,Spring,Aisle 9,Yes
2010-05-14,Omeprazole,109,Antacid,37.91,-109,Supplier D,Spring,Aisle 5,Yes
2010-05-14,Metformin,139,Antidiabetic,43.29,-139,Supplier B,Spring,Aisle 8,Yes
2010-05-14,Simvastatin,124,Lipid-lowering,46.19,-124,Supplier B,Spring,Aisle 6,Yes
2010-05-14,Diazepam,185,Benzodiazepine,27.55,-185,Supplier D,Spring,Aisle 9,Yes
2010-05-14,Ciprofloxacin,41,Antibiotic,13.37,-41,Supplier C,Spring,Aisle 2,Yes
2010-05-14,Levothyroxine,24,Thyroid Hormone,22.57,-24,Supplier B,Spring,Aisle 8,Yes
2010-05-21,Paracetamol,157,Analgesic,37.02,-157,Supplier C,Spring,Aisle 10,Yes
2010-05-21,Ibuprofen,28,NSAID,13.35,-28,Supplier A,Spring,Aisle 8,Yes
2010-05-21,Aspirin,174,NSAID,16.63,-174,Supplier D,Spring,Aisle 3,Yes
2010-05-21,Amoxicillin,78,Antibiotic,34.11,-78,Supplier A,Spring,Aisle 2,Yes
2010-05-21,Cetirizine,53,Antihistamine,37.15,-53,Supplier D,Spring,Aisle 6,Yes
2010-05-21,Loratadine,99,Antihistamine,7.24,-99,Supplier C,Spring,Aisle 7,Yes
2010-05-21,Omeprazole,123,Antacid,29.88,-123,Supplier D,Spring,Aisle 10,Yes
2010-05-21,Metformin,120,Antidiabetic,13.96,-120,Supplier D,Spring,Aisle 3,Yes
2010-05-21,Simvastatin,32,Lipid-lowering,6.45,-32,Supplier A,Spring,Aisle 7,Yes
2010-05-21,Diazepam,36,Benzodiazepine,7.32,-36,Supplier A,Spring,Aisle 8,Yes
2010-05-21,Ciprofloxacin,180,Antibiotic,43.57,-180,Supplier B,Spring,Aisle 4,Yes
2010-05-21,Levothyroxine,66,Thyroid Hormone,29.03,-66,Supplier A,Spring,Aisle 6,Yes
2010-05-28,Paracetamol,31,Analgesic,6.56,-31,Supplier A,Spring,Aisle 4,Yes
2010-05-28,Ibuprofen,132,NSAID,31.54,-132,Supplier D,Spring,Aisle 6,Yes
2010-05-28,Aspirin,69,NSAID,29.72,-69,Supplier C,Spring,Aisle 10,Yes
2010-05-28,Amoxicillin,198,Antibiotic,35.49,-198,Supplier A,Spring,Aisle 1,Yes
2010-05-28,Cetirizine,78,Antihistamine,24.75,-78,Supplier D,Spring,Aisle 1,Yes
2010-05-28,Loratadine,154,Antihistamine,19.09,-154,Supplier C,Spring,Aisle 3,Yes
2010-05-28,Omeprazole,57,Antacid,41.8,-57,Supplier B,Spring,Aisle 10,Yes
2010-05-28,Metformin,92,Antidiabetic,11.58,-92,Supplier D,Spring,Aisle 8,Yes
2010-05-28,Simvastatin,28,Lipid-lowering,23.46,-28,Supplier C,Spring,Aisle 2,Yes
2010-05-28,Diazepam,96,Benzodiazepine,32.02,-96,Supplier A,Spring,Aisle 6,Yes
2010-05-28,Ciprofloxacin,164,Antibiotic,39.55,-164,Supplier D,Spring,Aisle 3,Yes
2010-05-28,Levothyroxine,90,Thyroid Hormone,22.45,-90,Supplier D,Spring,Aisle 1,Yes
2010-06-04,Paracetamol,85,Analgesic,16.45,-85,Supplier D,Summer,Aisle 9,Yes
2010-06-04,Ibuprofen,190,NSAID,41.95,-190,Supplier A,Summer,Aisle 5,Yes
2010-06-04,Aspirin,61,NSAID,10.04,-61,Supplier A,Summer,Aisle 4,Yes
2010-06-04,Amoxicillin,162,Antibiotic,19.31,-162,Supplier A,Summer,Aisle 6,Yes
2010-06-04,Cetirizine,92,Antihistamine,49.31,-92,Supplier C,Summer,Aisle 3,Yes
2010-06-04,Loratadine,126,Antihistamine,41.3,-126,Supplier C,Summer,Aisle 4,Yes
2010-06-04,Omeprazole,110,Antacid,27.36,-110,Supplier B,Summer,Aisle 2,Yes
2010-06-04,Metformin,35,Antidiabetic,19.56,-35,Supplier D,Summer,Aisle 5,Yes
2010-06-04,Simvastatin,63,Lipid-lowering,18.31,-63,Supplier B,Summer,Aisle 7,Yes
2010-06-04,Diazepam,126,Benzodiazepine,28.29,-126,Supplier C,Summer,Aisle 2,Yes
2010-06-04,Ciprofloxacin,123,Antibiotic,33.14,-123,Supplier A,Summer,Aisle 5,Yes
